pref_lookingfor,count
|80|70|72|67|60|66|77|48|53|74|,1
|53|63|74|,1
|48|53|47|56|57|63|66|67|81|70|73|74|75|76|50|78|,1
|48|70|53|69|77|78|80|76|50|,1
|55|56|67|68|70|74|50|80|,1
|48|56|60|63|70|74|77|50|80|,1
|48|47|56|58|57|78|80|74|,1
|48|55|56|75|80|,1
|53|54|56|57|66|81|69|72|75|50|80|,1
|48|54|76|81|55|,1
|48|79|72|54|,1
|48|55|63|81|68|70|73|74|77|79|,1
|80|56|47|57|67|,1
|47|56|75|80|55|61|70|74|,1
|54|56|67|69|74|77|50|,1
|48|53|69|77|,1
|48|53|49|47|55|56|57|63|66|67|68|69|70|74|76|77|50|80|,1
|48|81|56|69|80|55|70|68|74|76|67|,1
|48|49|55|74|77|50|,1
|3|4|7|9|10|14|20|21|25|26|27|28|29|31|33|37|38|42|43|,1
|48|58|81|68|72|78|,1
|47|56|60|65|67|81|80|,1
|48|47|58|63|67|78|80|,1
|48|61|63|67|74|80|78|77|73|47|53|58|57|55|49|66|,1
|3|9|11|13|14|32|34|37|44|47|,1
|49|61|63|67|81|74|75|76|80|,1
|48|47|55|58|59|60|64|65|66|67|81|68|74|75|77|50|80|,1
|48|67|68|,1
|48|47|55|56|63|67|78|80|,1
|48|53|47|56|49|55|58|59|63|67|72|74|76|50|73|75|77|78|80|,1
|47|56|70|78|,1
|63|64|67|75|76|50|,1
|47|67|78|80|,1
|2|10|12|15|16|18|20|23|27|29|33|34|38|51|,1
|47|56|78|,1
|48|62|64|49|55|68|77|80|76|74|,1
|48|53|47|55|57|58|73|78|80|,1
|2|3|9|27|28|29|32|33|38|44|,1
|48|47|56|58|60|66|81|69|77|78|80|53|49|55|57|63|67|68|70|72|74|76|50|,1
|48|47|56|60|81|68|70|75|50|80|,1
|56|67|81|70|74|80|,1
|56|75|57|74|80|49|,1
|48|53|47|56|57|68|77|50|79|,1
|56|61|53|74|72|67|80|77|,1
|75|80|,1
|48|47|56|58|62|64|65|61|57|49|55|77|73|75|74|76|68|70|80|,1
|48|47|56|58|67|81|72|50|80|,1
|54|56|58|60|77|49|74|50|79|,1
|80|77|47|56|57|,1
|48|47|57|67|75|77|50|80|,1
|55|61|75|80|,1
|56|55|58|60|63|64|70|68|81|50|80|77|73|76|,1
|48|56|58|60|78|50|47|53|80|81|,1
|48|55|56|61|63|81|68|74|50|,1
|48|56|58|59|64|70|74|80|,1
|47|55|56|81|70|71|73|78|80|,1
|47|56|48|54|75|77|80|78|50|74|76|67|70|,1
|56|77|80|57|68|76|50|48|,1
|47|63|67|77|50|80|,1
|55|56|72|74|75|77|50|79|,1
|47|57|80|,1
|48|53|49|47|55|56|57|58|59|60|62|65|67|81|68|70|74|75|76|77|50|80|,1
|56|58|60|79|74|67|57|76|,1
|47|63|67|78|,1
|7|14|18|20|29|30|33|34|38|42|51|,1
|69|70|78|,1
|48|47|55|56|63|81|68|70|71|74|76|77|80|,1
|56|81|75|80|57|74|72|,1
|7|9|10|16|26|27|28|29|33|35|,1
|54|49|47|55|58|64|67|68|70|72|74|77|50|78|80|,1
|48|47|56|68|70|74|75|76|77|,1
|81|80|70|68|67|55|72|48|,1
|55|63|67|72|80|,1
|48|49|47|57|63|69|74|76|77|80|,1
|48|47|55|56|57|63|67|81|68|69|70|73|74|50|78|80|,1
|63|74|77|50|,1
|47|55|56|58|60|64|67|81|68|70|74|78|80|,1
|48|53|54|55|56|63|66|67|72|77|80|,1
|2|3|7|8|9|10|11|14|15|18|20|21|27|28|29|30|33|34|37|38|42|43|44|,1
|48|53|56|47|70|74|80|78|77|60|57|76|,1
|47|56|66|67|76|80|,1
|9|14|15|20|27|28|29|31|33|34|38|40|44|,1
|69|81|61|63|67|68|70|79|,1
|48|80|75|69|56|,1
|48|47|57|58|63|65|66|67|70|77|78|80|,1
|48|56|62|63|68|73|74|80|,1
|48|53|49|47|55|56|57|61|63|67|81|68|70|74|77|50|80|,1
|79|48|57|70|,1
|53|56|60|63|67|81|76|,1
|48|53|56|81|70|72|74|77|80|,1
|53|47|55|58|63|75|76|77|50|78|,1
|80|50|74|72|70|68|67|75|81|56|47|48|55|,1
|48|47|56|58|63|72|74|75|76|77|50|80|,1
|47|56|57|69|80|,1
|48|53|47|56|57|58|61|63|67|68|69|70|78|80|,1
|67|81|68|70|77|50|80|,1
|48|47|56|58|81|73|77|80|50|76|74|72|70|68|67|57|55|49|53|,1
|48|61|65|81|80|,1
|63|66|67|68|69|70|76|,1
|48|49|63|67|72|74|50|53|47|58|60|81|69|71|73|75|77|80|62|78|56|,1
|48|49|47|55|56|58|62|63|64|65|67|69|73|75|76|77|78|80|,1
|48|61|67|68|70|73|75|76|78|,1
|73|75|77|72|74|50|80|54|56|78|57|49|,1
|47|58|60|64|69|80|73|74|70|68|59|57|,1
|48|81|68|74|80|,1
